QA output created by 1989

pcp-slabinfo output : Display default output
Linux  5.4.17-2136.317.5.3.el8uek.x86_64  (localhost.localdomain)  08/02/23  x86_64    (4 CPU)
TimeStamp         Name                               active_objs         num_objs         objsize byte         objperslab         pagesperslab         active_slabs         num_slabs
10:25:20          xfs_inode                             275430             275430               1088                30                   8               9181               9181
10:25:20          xfs_log_ticket                            88                 88                184                22                   1                  4                  4
10:25:20          xfs_rud_item                              92                 92                176                23                   1                  4                  4
10:25:20          xfs_rui_item                               0                  0                696                23                   4                  0                  0
Linux  5.4.17-2136.317.5.3.el8uek.x86_64  (localhost.localdomain)  08/02/23  x86_64    (4 CPU)
TimeStamp         Name                               active_objs         num_objs         objsize byte         objperslab         pagesperslab         active_slabs         num_slabs
10:25:23          Acpi-Operand                            4592               4592                 72                56                   1                 82                 82
10:25:23          Acpi-Parse                            314423             315652                 56                73                   1               4324               4324
10:25:23          Acpi-State                               765                765                 80                51                   1                 15                 15
10:25:23          anon_vma                               11502              11895                104                39                   1                305                305
10:25:23          anon_vma_chain                         17920              19264                 64                64                   1                301                301
10:25:23          avc_xperms_data                         8192               8192                 32               128                   1                 64                 64
10:25:23          avtab_extended_perms                  276216             276216                 40               102                   1               2708               2708
10:25:23          avtab_node                            401880             401880                 24               170                   1               2364               2364
10:25:23          bdev_cache                                72                 72                896                18                   4                  4                  4
10:25:23          bfq_io_cq                                  0                  0                160                25                   1                  0                  0
10:25:23          biovec-128                                64                 64               2048                16                   8                  4                  4
10:25:23          biovec-64                                 64                 64               1024                16                   4                  4                  4
10:25:23          biovec-max                               148                192               4096                 8                   8                 24                 24
10:25:23          blkdev_ioc                               210                210                136                30                   1                  7                  7
10:25:23          buffer_head                              117                117                104                39                   1                  3                  3
10:25:23          cred_jar                                1651               1848                192                21                   1                 88                 88
10:25:23          dax_cache                                 57                 57                832                19                   4                  3                  3
10:25:23          dentry                                346562             346655                208                19                   1              18245              18245
10:25:23          dio                                        0                  0                640                25                   4                  0                  0
10:25:23          dm_uevent                                  0                  0               2664                12                   8                  0                  0
10:25:23          dma-kmalloc-128                            0                  0                128                32                   1                  0                  0
10:25:23          dma-kmalloc-16                             0                  0                 16               256                   1                  0                  0
10:25:23          dma-kmalloc-192                            0                  0                192                21                   1                  0                  0
10:25:23          dma-kmalloc-1k                             0                  0               1024                16                   4                  0                  0
10:25:23          dma-kmalloc-256                            0                  0                256                16                   1                  0                  0
10:25:23          dma-kmalloc-2k                             0                  0               2048                16                   8                  0                  0
10:25:23          dma-kmalloc-32                             0                  0                 32               128                   1                  0                  0
10:25:23          dma-kmalloc-4k                             0                  0               4096                 8                   8                  0                  0
10:25:23          dma-kmalloc-512                            0                  0                512                16                   2                  0                  0
10:25:23          dma-kmalloc-64                             0                  0                 64                64                   1                  0                  0
10:25:23          dma-kmalloc-8                              0                  0                  8               512                   1                  0                  0
10:25:23          dma-kmalloc-8k                             0                  0               8192                 4                   8                  0                  0
10:25:23          dma-kmalloc-96                             0                  0                 96                42                   1                  0                  0
10:25:23          dmaengine-unmap-128                       30                 30               1088                30                   8                  1                  1
10:25:23          dmaengine-unmap-16                     35280              35280                192                21                   1               1680               1680
10:25:23          dmaengine-unmap-256                       15                 15               2112                15                   8                  1                  1
10:25:23          dnotify_struct                             0                  0                 32               128                   1                  0                  0
10:25:23          dquot                                      0                  0                256                16                   1                  0                  0
10:25:23          eventpoll_pwq                            728                728                 72                56                   1                 13                 13
10:25:23          file_lock_cache                           90                 90                216                18                   1                  5                  5
10:25:23          files_cache                              230                230                704                23                   4                 10                 10
10:25:23          filp                                   10438              12000                256                16                   1                750                750
10:25:23          fscrypt_ctx                                0                  0                 80                51                   1                  0                  0
10:25:23          ftrace_event_field                      4505               4505                 48                85                   1                 53                 53
10:25:23          fuse_inode                                19                 19                832                19                   4                  1                  1
10:25:23          hugetlbfs_inode_cache                     69                 69                704                23                   4                  3                  3
10:25:23          iint_cache                                 0                  0                120                34                   1                  0                  0
10:25:23          inode_cache                            26084              27100                640                25                   4               1084               1084
10:25:23          ip4-frags                                 68                 68                232                17                   1                  4                  4
10:25:23          isofs_inode_cache                         69                 69                688                23                   4                  3                  3
10:25:23          kcopyd_job                                 0                  0               3312                 9                   8                  0                  0
10:25:23          kernfs_node_cache                      30207              31230                136                30                   1               1041               1041
